tournament,location,surface,year,cpi,ace_rate,rally_length,elevation,ball_type,winner
ATP Finals,"London, England",Indoor Hard Court,2012,34.1,9.3,,5m,Penn/Head,Djokovic
ATP Finals,"London, England",Indoor Hard Court,2013,33.9,9.6,,5m,Penn/Head,Djokovic
ATP Finals,"London, England",Indoor Hard Court,2014,34,8.7,,5m,Penn/Head,Djokovic
ATP Finals,"London, England",Indoor Hard Court,2015,34.6,8,,5m,Penn/Head,Djokovic
ATP Finals,"London, England",Indoor Hard Court,2016,42.1,10.3,,5m,Penn/Head,Murray
ATP Finals,"London, England",Indoor Hard Court,2017,42.1,7.6,,5m,Penn/Head,Dimitrov
ATP Finals,"London, England",Indoor Hard Court,2018,40.3,15.2,,5m,Penn/Head,A.Zverev
ATP Finals,"London, England",Indoor Hard Court,2019,41.6,11.7,,5m,Dunlop*,Tsitsipas
ATP Finals,"London, England",Indoor Hard Court,2020,36.7,11.2,,5m,Dunlop,Medvedev
ATP Finals,"London, England",Indoor Hard Court,2021,39.9,15.9,4.3,247m,Dunlop,Zverev
ATP Finals,"London, England",Indoor Hard Court,2022,43.2,16.7,4.08,247m,Dunlop,Djokovic
ATP Finals,"London, England",Indoor Hard Court,2023,43.8,14.8,4.1,247m,Dunlop,Djokovic
ATP Finals,"London, England",Indoor Hard Court,2024,39.9,13.4,4.39,247m,Dunlop,Sinner
ATP Finals,"London, England",Indoor Hard Court,2025,40.1,12,4.06,247m,Dunlop,Sinner
ATP Finals,"London, England",Indoor Hard Court,2026,0,,,247m,Dunlop,
Australian Open,"Melbourne, Australia",Hard Court,2012,0,8.2,,9m,Wilson,Djokovic
Australian Open,"Melbourne, Australia",Hard Court,2013,0,9.9,,9m,Wilson,Djokovic
Australian Open,"Melbourne, Australia",Hard Court,2014,0,10.2,,9m,Wilson,Wawrinka
Australian Open,"Melbourne, Australia",Hard Court,2015,0,10.7,,9m,Wilson,Djokovic
Australian Open,"Melbourne, Australia",Hard Court,2016,0,9.3,,9m,Wilson,Djokovic
Australian Open,"Melbourne, Australia",Hard Court,2017,42,8.6,,9m,Wilson,Federer
Australian Open,"Melbourne, Australia",Hard Court,2018,0,9.8,,9m,Wilson,Federer
Australian Open,"Melbourne, Australia",Hard Court,2019,0,11.4,,9m,Dunlop*,Djokovic
Australian Open,"Melbourne, Australia",Hard Court,2020,43,9.6,,9m,Dunlop,Djokovic
Australian Open,"Melbourne, Australia",Hard Court,2021,50,11,,9m,Dunlop,Djokovic
Australian Open,"Melbourne, Australia",Hard Court,2022,0,10.2,,9m,Dunlop,Nadal
Australian Open,"Melbourne, Australia",Hard Court,2023,0,10.8,,9m,Dunlop,Djokovic
Australian Open,"Melbourne, Australia",Hard Court,2024,0,11.1,4.23,9m,Dunlop,Sinner
Australian Open,"Melbourne, Australia",Hard Court,2025,0,10.8,4.01,9m,Dunlop,Sinner
Australian Open,"Melbourne, Australia",Hard Court,2026,0,11.7,4.02,9m,Dunlop,Alcaraz
Canadian Open,"Montreal/Toronto, Canada",Hard Court,2012,0,10.4,,188m,Penn/Head,Djokovic
Canadian Open,"Montreal/Toronto, Canada",Hard Court,2013,0,9.3,,60m,Penn/Head,Nadal
Canadian Open,"Montreal/Toronto, Canada",Hard Court,2014,0,11.6,,188m,Penn/Head,Tsonga
