tourney_name,tourney_date,surface,tourney_level,round,winner_name,loser_name,winner_rank,loser_rank,score,best_of,court,location
Brisbane International,20241229,Hard,ATP250,1st Round,Vukic A.,Goffin D.,68,52.0,6-2 6-3,3,Outdoor,Brisbane
Brisbane International,20241229,Hard,ATP250,1st Round,Vukic A.,Goffin D.,68,52.0,6-2 6-3,3,Outdoor,Brisbane
Brisbane International,20241230,Hard,ATP250,1st Round,Bonzi B.,Tabilo A.,75,23.0,6-7 7-6 6-4,3,Outdoor,Brisbane
Brisbane International,20241230,Hard,ATP250,1st Round,Bonzi B.,Tabilo A.,75,23.0,6-7 7-6 6-4,3,Outdoor,Brisbane
Brisbane International,20241230,Hard,ATP250,1st Round,Nishioka Y.,Rinderknech A.,69,59.0,6-3 6-4,3,Outdoor,Brisbane
Brisbane International,20241230,Hard,ATP250,1st Round,Thompson J.,Berrettini M.,26,34.0,3-6 6-3 6-4,3,Outdoor,Brisbane
Brisbane International,20241230,Hard,ATP250,1st Round,Jarry N.,Navone M.,35,47.0,7-5 7-6,3,Outdoor,Brisbane
Brisbane International,20241230,Hard,ATP250,1st Round,Dimitrov G.,Hanfmann Y.,10,96.0,7-6 6-3,3,Outdoor,Brisbane
Brisbane International,20241230,Hard,ATP250,1st Round,Lehecka J.,Rune H.,28,13.0,7-5 6-3,3,Outdoor,Brisbane
Hong Kong Tennis Open,20241230,Hard,ATP250,1st Round,Kecmanovic M.,Darderi L.,54,44.0,6-3 6-3,3,Outdoor,Hong Kong
Hong Kong Tennis Open,20241230,Hard,ATP250,1st Round,Marozsan F.,Safiullin R.,58,60.0,6-1 7-6,3,Outdoor,Hong Kong
Brisbane International,20241230,Hard,ATP250,1st Round,Michelsen A.,O Connell C.,41,64.0,6-4 4-6 7-6,3,Outdoor,Brisbane
Brisbane International,20241230,Hard,ATP250,1st Round,Michelsen A.,O Connell C.,41,64.0,6-4 4-6 7-6,3,Outdoor,Brisbane
Hong Kong Tennis Open,20241230,Hard,ATP250,1st Round,Sonego L.,Nakashima B.,53,38.0,7-6 6-3,3,Outdoor,Hong Kong
Hong Kong Tennis Open,20241230,Hard,ATP250,1st Round,Norrie C.,Tien L.,49,122.0,6-3 7-5,3,Outdoor,Hong Kong
Brisbane International,20241230,Hard,ATP250,1st Round,Nishioka Y.,Rinderknech A.,69,59.0,6-3 6-4,3,Outdoor,Brisbane
Brisbane International,20241230,Hard,ATP250,1st Round,Thompson J.,Berrettini M.,26,34.0,3-6 6-3 6-4,3,Outdoor,Brisbane
Brisbane International,20241230,Hard,ATP250,1st Round,Jarry N.,Navone M.,35,47.0,7-5 7-6,3,Outdoor,Brisbane
Brisbane International,20241230,Hard,ATP250,1st Round,Dimitrov G.,Hanfmann Y.,10,96.0,7-6 6-3,3,Outdoor,Brisbane
Brisbane International,20241230,Hard,ATP250,1st Round,Lehecka J.,Rune H.,28,13.0,7-5 6-3,3,Outdoor,Brisbane
Hong Kong Tennis Open,20241230,Hard,ATP250,1st Round,Norrie C.,Tien L.,49,122.0,6-3 7-5,3,Outdoor,Hong Kong
Hong Kong Tennis Open,20241230,Hard,ATP250,1st Round,Sonego L.,Nakashima B.,53,38.0,7-6 6-3,3,Outdoor,Hong Kong
