tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
20241229-Brisbane_I,Brisbane International,Hard,,,20241229,1,,,,Aleksandar Vukic,,,,,,,,David Goffin,,,,,6-2 6-3,3,R128,,,,,,,,,,,,,,,,,,,,68,,52.0,
20241230-Brisbane_I,Brisbane International,Hard,,,20241230,2,,,,Benjamin Bonzi,,,,,,,,Alejandro Tabilo,,,,,6-7 7-6 6-4,3,R128,,,,,,,,,,,,,,,,,,,,75,,23.0,
20241230-Brisbane_I,Brisbane International,Hard,,,20241230,3,,,,Yoshihito Nishioka,,,,,,,,Arthur Rinderknech,,,,,6-3 6-4,3,R128,,,,,,,,,,,,,,,,,,,,69,,59.0,
20241230-Brisbane_I,Brisbane International,Hard,,,20241230,4,,,,Jordan Thompson,,,,,,,,Matteo Berrettini,,,,,3-6 6-3 6-4,3,R128,,,,,,,,,,,,,,,,,,,,26,,34.0,
20241230-Brisbane_I,Brisbane International,Hard,,,20241230,5,,,,Nicolas Jarry,,,,,,,,Mariano Navone,,,,,7-5 7-6,3,R128,,,,,,,,,,,,,,,,,,,,35,,47.0,
20241230-Brisbane_I,Brisbane International,Hard,,,20241230,6,,,,Grigor Dimitrov,,,,,,,,Yannick Hanfmann,,,,,7-6 6-3,3,R128,,,,,,,,,,,,,,,,,,,,10,,96.0,
20241230-Brisbane_I,Brisbane International,Hard,,,20241230,7,,,,Jiri Lehecka,,,,,,,,Holger Rune,,,,,7-5 6-3,3,R128,,,,,,,,,,,,,,,,,,,,28,,13.0,
20241231-Brisbane_I,Brisbane International,Hard,,,20241231,8,,,,Reilly Opelka,,,,,,,,Federico Agustin Gomez,,,,,7-5 6-4,3,R128,,,,,,,,,,,,,,,,,,,,293,,137.0,
20241231-Brisbane_I,Brisbane International,Hard,,,20241231,9,,,,Matteo Arnaldi,,,,,,,,Alexei Popyrin,,,,,6-3 6-2,3,R128,,,,,,,,,,,,,,,,,,,,37,,24.0,
20241231-Brisbane_I,Brisbane International,Hard,,,20241231,10,,,,Frances Tiafoe,,,,,,,,Adam Walton,,,,,7-6 6-3,3,R128,,,,,,,,,,,,,,,,,,,,18,,93.0,
20241231-Brisbane_I,Brisbane International,Hard,,,20241231,11,,,,Jakub Mensik,,,,,,,,Mikhail Kukushkin,,,,,7-6 6-4,3,R128,,,,,,,,,,,,,,,,,,,,48,,113.0,
20241231-Brisbane_I,Brisbane International,Hard,,,20241231,12,,,,Dusan Lajovic,,,,,,,,Arthur Cazaux,,,,,6-4 6-4,3,R128,,,,,,,,,,,,,,,,,,,,81,,63.0,
20241231-Brisbane_I,Brisbane International,Hard,,,20241231,13,,,,Giovanni Mpetshi Perricard,,,,,,,,Nick Kyrgios,,,,,7-6 6-7 7-6,3,R128,,,,,,,,,,,,,,,,,,,,31,,,
20241231-Brisbane_I,Brisbane International,Hard,,,20241231,14,,,,Gael Monfils,,,,,,,,Nishesh Basavareddy,,,,,6-4 4-6 6-1,3,R128,,,,,,,,,,,,,,,,,,,,55,,138.0,
20241231-Brisbane_I,Brisbane International,Hard,,,20241231,15,,,,Novak Djokovic,,,,,,,,Rinky Hijikata,,,,,6-3 6-3,3,R128,,,,,,,,,,,,,,,,,,,,7,,73.0,
20250101-Brisbane_I,Brisbane International,Hard,,,20250101,16,,,,Jiri Lehecka,,,,,,,,Yoshihito Nishioka,,,,,6-2 6-7 6-4,3,R64,,,,,,,,,,,,,,,,,,,,28,,69.0,
20250101-Brisbane_I,Brisbane International,Hard,,,20250101,17,,,,Nicolas Jarry,,,,,,,,Benjamin Bonzi,,,,,6-2 6-3,3,R64,,,,,,,,,,,,,,,,,,,,35,,75.0,
20250101-Brisbane_I,Brisbane International,Hard,,,20250101,18,,,,Grigor Dimitrov,,,,,,,,Aleksandar Vukic,,,,,6-2 7-6,3,R64,,,,,,,,,,,,,,,,,,,,10,,68.0,
20250101-Brisbane_I,Brisbane International,Hard,,,20250101,19,,,,Jordan Thompson,,,,,,,,Alex Michelsen,,,,,7-5 6-3,3,R64,,,,,,,,,,,,,,,,,,,,26,,41.0,
20250102-Brisbane_I,Brisbane International,Hard,,,20250102,20,,,,Jakub Mensik,,,,,,,,Dusan Lajovic,,,,,6-3 6-2,3,R64,,,,,,,,,,,,,,,,,,,,48,,81.0,
20250102-Brisbane_I,Brisbane International,Hard,,,20250102,21,,,,Reilly Opelka,,,,,,,,Matteo Arnaldi,,,,,7-6 7-6,3,R64,,,,,,,,,,,,,,,,,,,,293,,37.0,
20250102-Brisbane_I,Brisbane International,Hard,,,20250102,22,,,,Giovanni Mpetshi Perricard,,,,,,,,Frances Tiafoe,,,,,6-4 7-6,3,R64,,,,,,,,,,,,,,,,,,,,31,,18.0,
20250102-Brisbane_I,Brisbane International,Hard,,,20250102,23,,,,Novak Djokovic,,,,,,,,Gael Monfils,,,,,6-3 6-3,3,R64,,,,,,,,,,,,,,,,,,,,7,,55.0,
20250103-Brisbane_I,Brisbane International,Hard,,,20250103,24,,,,Jiri Lehecka,,,,,,,,Nicolas Jarry,,,,,6-4 6-4,3,QF,,,,,,,,,,,,,,,,,,,,28,,35.0,
